true_metascore,predicted_metascore
81.0,66.64
68.0,72.7575
70.0,69.9025
74.0,66.3275
64.0,70.935
68.0,64.055
78.0,76.215
56.0,62.4275
84.0,79.9825
76.0,71.5925
94.0,91.0675
83.0,85.6
74.0,74.6675
63.0,63.19
77.0,74.5875
80.0,72.99
74.0,71.6775
74.0,68.3075
79.0,71.5325
87.0,77.195
59.0,63.7075
97.0,80.685
55.0,72.4325
64.0,71.2
68.0,71.1875
74.0,76.065
64.0,73.215
83.0,81.7625
82.0,69.9375
42.0,53.085
80.0,64.885
63.0,69.685
57.0,57.22
96.0,88.19
71.0,78.8475
78.0,73.6875
83.0,73.58
87.0,69.855
84.0,77.315
80.0,79.5525
44.0,59.8875
68.0,75.9425
73.0,74.68
62.0,57.165
68.0,69.83
89.0,77.6525
60.0,69.8025
80.0,77.63
64.0,70.9
85.0,77.175
80.0,78.09
72.0,74.44
79.0,59.0175
80.0,74.12
63.0,62.6425
72.0,73.59
66.0,69.71
79.0,78.325
80.0,79.87
59.0,69.23
72.0,75.3225
66.0,71.04
65.0,69.755
87.0,74.5625
83.0,81.1525
72.0,77.1675
86.0,74.025
46.0,57.8475
83.0,87.0725
74.0,72.035
73.0,72.4625
78.0,65.27
69.0,69.7025
83.0,79.42
64.0,71.0275
81.0,80.205
68.0,68.9225
80.0,78.6
53.0,66.0625
69.0,64.5225
76.0,77.38
67.0,63.0825
56.0,57.8325
83.0,77.72
79.0,69.4625
73.0,73.7325
68.0,75.95
72.0,65.9625
75.0,69.74
70.0,76.6
82.0,73.605
67.0,63.03
77.0,72.1775
84.0,78.485
54.0,68.7975
67.0,75.025
71.0,68.0925
70.0,68.3625
57.0,75.05
58.0,67.12
66.0,68.89
72.0,67.335
79.0,73.685
59.0,64.6075
49.0,53.4875
97.0,87.2475
75.0,77.4125
80.0,76.1175
68.0,67.005
76.0,75.7525
78.0,71.72
81.0,75.3525
63.0,61.545
76.0,69.7175
59.0,62.7925
68.0,67.3225
69.0,66.7225
90.0,78.0475
76.0,72.0825
64.0,56.99
68.0,73.975
67.0,61.045
73.0,69.745
63.0,70.15
50.0,68.6075
70.0,63.0125
72.0,70.3
80.0,77.6
76.0,76.5925
84.0,74.1625
75.0,71.5475
51.0,60.365
66.0,77.9675
81.0,79.59
92.0,87.1525
61.0,60.8275
78.0,80.4625
69.0,64.2925
70.0,67.9525
85.0,62.025
90.0,78.175
61.0,59.39
64.0,68.19
74.0,78.5925
83.0,76.4575
90.0,87.555
77.0,63.375
82.0,66.4175
43.0,68.655
73.0,80.1975
75.0,67.15
80.0,71.84
64.0,65.79
72.0,75.2
80.0,72.2075
80.0,75.5425
59.0,62.55
72.0,78.2625
73.0,71.175
88.0,79.0075
67.0,66.5325
82.0,82.7825
87.0,80.1825
69.0,71.4
69.0,73.205
48.0,66.9425
85.0,74.6275
70.0,60.7825
69.0,73.185
50.0,51.5
85.0,82.445
79.0,79.95
74.0,78.13
62.0,62.385
82.0,72.1825
36.0,65.3725
72.0,75.12
42.0,66.3375
81.0,82.7125
70.0,68.9
69.0,65.58
84.0,74.68
76.0,69.29
58.0,64.83
84.0,83.425
89.0,68.3775
69.0,77.47
79.0,69.8475
64.0,69.285
51.0,74.0225
65.0,74.9125
86.0,85.915
77.0,65.64
67.0,70.545
92.0,79.9975
83.0,77.2375
67.0,76.65
70.0,69.9425
64.0,69.2925
72.0,71.08
40.0,71.0525
82.0,78.8475
76.0,70.3075
60.0,72.57
81.0,78.8925
75.0,74.68
85.0,80.0125
70.0,73.0875
89.0,81.8725
69.0,74.1975
56.0,72.865
78.0,57.025
78.0,69.615
68.0,61.8025
68.0,68.855
52.0,57.9775
70.0,68.66
44.0,69.785
73.0,68.41
57.0,42.9775
65.0,75.9
80.0,78.0875
76.0,79.835
67.0,74.4325
76.0,69.445
81.0,76.79
78.0,79.14
50.0,58.875
82.0,71.66
87.0,74.93
74.0,66.3725
68.0,78.3425
66.0,64.8275
61.0,64.0525
83.0,75.66
88.0,79.8125
75.0,75.3025
61.0,61.185
71.0,65.7425
55.0,56.8775
73.0,70.265
72.0,72.61
53.0,63.3325
49.0,65.1175
96.0,77.6975
69.0,67.95
63.0,63.8475
77.0,75.19
62.0,59.2575
67.0,73.6625
83.0,73.045
54.0,70.1575
78.0,77.0575
76.0,75.5325
75.0,85.1225
60.0,73.0875
72.0,79.485
72.0,79.405
64.0,71.67
81.0,75.4725
78.0,64.92
79.0,72.85
77.0,76.57
61.0,73.5225
58.0,77.3375
84.0,78.795
34.0,45.2
62.0,64.4275
84.0,89.5075
66.0,68.745
78.0,72.57
83.0,80.28
81.0,78.3325
85.0,77.5025
62.0,62.725
62.0,80.025
73.0,67.83
85.0,80.7775
74.0,66.8875
69.0,69.3675
60.0,77.8575
73.0,69.01
35.0,56.485
93.0,74.8575
86.0,83.4475
64.0,63.82
86.0,81.91
61.0,67.33
75.0,69.1275
83.0,79.1
69.0,68.32
65.0,73.99
76.0,69.18
79.0,74.13
83.0,73.475
75.0,76.0175
77.0,77.3775
54.0,71.3375
69.0,66.8725
73.0,68.2025
68.0,70.015
69.0,65.93
83.0,69.3825
58.0,54.275
78.0,77.2825
83.0,77.655
78.0,77.28
39.0,58.06
50.0,60.3475
81.0,77.2125
75.0,69.8025
70.0,64.955
64.0,71.0375
76.0,71.35
83.0,69.0075
83.0,81.9325
72.0,62.8175
45.0,57.185
82.0,80.66
60.0,65.08
87.0,82.9225
73.0,71.9125
33.0,60.9475
67.0,74.91
62.0,60.625
75.0,79.4775
69.0,71.6525
86.0,71.585
92.0,73.0125
75.0,77.9325
83.0,84.08
81.0,74.25
70.0,67.4225
77.0,77.2925
50.0,67.795
73.0,75.2175
73.0,75.565
68.0,73.595
72.0,78.2175
73.0,64.3325
67.0,60.2975
81.0,71.4225
72.0,65.715
83.0,75.62
82.0,67.9575
76.0,69.8625
91.0,80.9
68.0,78.2025
50.0,57.2825
82.0,69.1525
67.0,62.73
79.0,79.095
82.0,72.795
67.0,76.075
58.0,60.0325
87.0,79.5375
83.0,80.8275
80.0,68.52
43.0,53.6575
56.0,62.1075
74.0,67.09
66.0,69.37
74.0,72.71
73.0,72.02
84.0,60.3075
40.0,66.05
70.0,75.8875
54.0,69.33
58.0,64.735
44.0,69.795
76.0,82.49
64.0,73.3825
81.0,80.0725
74.0,74.245
67.0,75.8625
60.0,64.825
80.0,76.7525
73.0,77.4375
77.0,71.13
79.0,74.695
65.0,70.8725
83.0,83.2425
57.0,68.055
74.0,78.345
78.0,75.165
80.0,76.6275
55.0,69.7925
71.0,69.5275
88.0,69.055
81.0,82.6075
81.0,75.9675
86.0,80.0
60.0,51.36
51.0,61.2775
62.0,66.7375
64.0,67.41
68.0,78.985
72.0,69.125
78.0,78.4825
81.0,82.375
62.0,62.43
80.0,67.7125
62.0,70.5675
57.0,69.04
54.0,64.5725
83.0,70.1175
83.0,75.74
82.0,80.3675
80.0,80.5125
38.0,61.32
72.0,72.72
52.0,59.9725
89.0,83.5525
76.0,76.405
82.0,73.1375
77.0,77.8025
75.0,73.1125
75.0,73.9475
76.0,77.565
94.0,78.3925
84.0,78.0125
87.0,80.0225
92.0,87.95
75.0,71.0125
57.0,62.97
66.0,60.24
45.0,72.575
70.0,61.4775
94.0,86.2825
79.0,81.9175
77.0,79.2675
76.0,61.2375
83.0,74.515
66.0,66.53
44.0,42.4975
84.0,78.52
62.0,69.1025
81.0,78.8125
71.0,79.215
38.0,52.755
90.0,74.8675
73.0,63.6875
91.0,82.0725
54.0,66.5025
84.0,61.75
76.0,77.6725
69.0,68.6075
65.0,67.055
34.0,46.615
62.0,72.665
62.0,54.06
83.0,67.7675
68.0,74.335
69.0,70.1875
73.0,70.7075
80.0,71.2325
60.0,57.92
78.0,75.405
83.0,72.73
75.0,69.7475
80.0,76.6025
75.0,75.8875
56.0,64.4675
72.0,68.305
83.0,79.5925
80.0,82.065
81.0,68.4075
47.0,63.71
84.0,61.8875
61.0,72.8375
81.0,79.0325
69.0,71.92
75.0,77.7575
78.0,63.6225
64.0,68.45
41.0,63.6075
75.0,75.5675
82.0,63.8725
88.0,87.96
71.0,75.01
75.0,76.9
52.0,69.9975
74.0,67.535
70.0,64.0
58.0,72.5975
53.0,64.76
71.0,73.305
94.0,85.115
78.0,68.175
78.0,75.0775
72.0,76.3525
76.0,71.9325
66.0,73.1325
81.0,72.39
66.0,68.2825
80.0,60.615
85.0,63.76
58.0,68.8375
75.0,73.8325
75.0,78.9225
50.0,65.0675
60.0,71.11
64.0,67.1125
63.0,66.88
82.0,82.175
60.0,57.4925
65.0,56.745
85.0,79.575
69.0,78.1625
62.0,62.9125
75.0,73.14
69.0,81.32
72.0,81.4325
58.0,62.634499999999996
81.0,76.7375
65.0,64.0075
47.0,60.2025
79.0,77.8925
74.0,70.5425
70.0,66.9
71.0,82.5125
80.0,77.75
61.0,72.8875
78.0,72.355
71.0,72.6775
68.0,77.4425
58.0,60.0375
79.0,70.6225
82.0,78.545
75.0,78.095
25.0,59.175
63.0,57.7425
77.0,73.1675
36.0,45.4775
83.0,81.93
38.0,48.0775
62.0,62.005
83.0,78.755
53.0,58.2875
79.0,74.48
85.0,79.2525
65.0,79.4375
81.0,75.4175
77.0,78.435
57.0,67.14
76.0,74.975
74.0,64.045
60.0,69.71
44.0,71.4675
69.0,62.35
74.0,66.1625
65.0,67.6875
70.0,69.505
74.0,77.5825
74.0,75.5325
70.0,57.0175
82.0,78.2625
83.0,74.4975
72.0,74.84
75.0,77.59
76.0,76.7475
82.0,75.845
50.0,63.8575
34.0,41.9775
50.0,62.505
72.0,74.6625
81.0,77.2325
60.0,61.6675
67.0,72.23
87.0,79.02
70.0,74.4275
66.0,76.8775
81.0,78.1325
57.0,70.335
59.0,51.235
58.0,64.165
63.0,69.4525
61.0,67.685
78.0,78.7725
67.0,62.5325
81.0,73.2025
62.0,75.27
82.0,72.955
77.0,79.24
69.0,76.6325
81.0,70.505
77.0,79.68
73.0,72.0875
80.0,71.3525
44.0,48.825
73.0,75.295
81.0,66.005
78.0,70.12
68.0,69.0875
78.0,76.11
64.0,72.43
65.0,66.595
70.0,69.79
68.0,68.04
68.0,73.935
72.0,70.005
65.0,78.3625
83.0,80.2825
82.0,78.975
84.0,77.595
68.0,65.495
74.0,74.24
76.0,70.295
61.0,70.16
73.0,76.2075
77.0,71.5625
75.0,72.595
69.0,62.5825
75.0,68.115
88.0,80.7625
86.0,83.245
46.0,60.92
75.0,73.4575
79.0,79.365
65.0,67.07
76.0,75.0775
69.0,70.645
84.0,66.4975
81.0,63.97
65.0,65.0375
58.0,63.815
59.0,68.1725
77.0,81.7675
78.0,79.8125
78.0,78.7775
75.0,73.34
74.0,66.675
71.0,64.285
46.0,63.9925
79.0,83.77
49.0,61.9125
78.0,77.8175
35.0,37.8125
46.0,70.76
76.0,75.17
66.0,57.085
58.0,63.835
72.0,77.9775
71.0,73.4175
76.0,72.075
62.0,56.81
81.0,83.1475
80.0,75.5175
71.0,69.0475
73.0,77.5575
61.0,71.725
75.0,72.2675
59.0,75.365
73.0,71.4975
76.0,71.9975
70.0,71.885
74.0,76.3825
67.0,69.3375
58.0,74.625
71.0,70.315
67.0,60.4575
80.0,73.72
56.0,69.87
80.0,81.815
66.0,59.6325
55.0,70.455
47.0,57.395
60.0,59.335
71.0,80.175
71.0,69.6675
65.0,58.445
82.0,75.07
66.0,69.715
80.0,75.3975
80.0,77.6225
41.0,60.9
68.0,78.5625
43.0,46.695
78.0,78.7575
67.0,63.9625
80.0,67.285
79.0,74.0975
74.0,76.395
74.0,68.455
84.0,79.895
74.0,64.9075
76.0,73.9975
76.0,73.09
50.0,52.66
49.0,68.7825
82.0,70.39
24.0,46.4325
78.0,77.9275
83.0,71.2075
73.0,78.7625
49.0,65.475
89.0,81.2225
82.0,81.9375
84.0,73.6475
86.0,76.8525
41.0,66.19
67.0,73.465
72.0,75.485
70.0,71.0425
76.0,72.525
58.0,74.0425
86.0,81.625
67.0,60.655
73.0,70.9775
74.0,66.9675
76.0,79.8675
58.0,58.6025
92.0,89.5325
84.0,75.275
78.0,75.4175
79.0,70.0175
80.0,79.3925
82.0,79.845
58.0,68.8075
62.0,62.175
61.0,59.97
72.0,76.385
85.0,72.4675
76.0,73.5125
65.0,70.395
66.0,67.7225
77.0,69.3175
41.0,60.735
49.0,64.1775
76.0,70.54
65.0,83.21
74.0,67.425
84.0,85.695
85.0,77.2375
71.0,79.665
67.0,72.215
61.0,68.8025
98.0,83.935
84.0,78.365
77.0,64.5725
76.0,71.9725
81.0,73.7075
84.0,85.815
57.0,65.3675
67.0,70.625
76.0,75.525
53.0,55.235
66.0,62.0675
58.0,65.6975
63.0,63.975
66.0,62.83
71.0,60.24
74.0,78.165
75.0,77.1025
72.0,68.4425
72.0,68.365
81.0,67.6775
76.0,73.275
82.0,75.0375
84.0,77.635
91.0,82.15
79.0,72.8275
55.0,72.0825
83.0,81.455
69.0,72.8675
76.0,67.455
84.0,80.01
69.0,70.555
66.0,63.84
71.0,74.6325
76.0,73.0025
63.0,69.9775
68.0,72.705
75.0,66.905
73.0,74.18
53.0,59.26
62.0,64.745
65.0,56.22
77.0,63.355
77.0,73.3975
82.0,78.3825
68.0,69.27
58.0,58.6925
76.0,77.385
90.0,73.3325
66.0,59.4925
52.0,66.385
82.0,73.22
76.0,74.5125
62.0,74.6525
71.0,74.0575
76.0,71.7825
61.0,59.93
77.0,79.11
76.0,72.66
69.0,73.3975
77.0,68.8875
42.0,67.76
62.0,71.0875
58.0,72.465
67.0,69.19
86.0,78.7725
65.0,53.0525
72.0,68.7375
70.0,68.5925
88.0,76.7875
40.0,59.8225
75.0,78.77
80.0,76.54
78.0,77.435
80.0,79.245
