true_metascore,predicted_metascore
75.0,70.91473690130807
68.0,68.64897791857658
57.0,69.8634910145672
66.0,73.32794128028293
71.0,64.00810010171045
58.0,67.8888998463127
79.0,71.0705042382646
77.0,77.47076781489164
54.0,59.882827295719366
79.0,71.55404546379818
81.0,76.41641380139698
70.0,68.18731647919894
72.0,72.58100735923796
84.0,75.14510936834256
64.0,67.94294776260045
94.0,76.77617680117058
42.0,64.84624360011702
78.0,69.697633724776
63.0,65.29220812296397
71.0,69.88914330200004
78.0,74.0091129505935
54.0,63.95813819854834
62.0,71.20096432571417
75.0,68.48805727328933
79.0,69.76228528040899
62.0,71.71651068047571
81.0,67.23200610034914
78.0,65.32292509295009
82.0,75.2285614323551
68.0,75.15694315402713
55.0,69.22923654208526
62.0,72.18896665715697
79.0,77.03931498076616
76.0,68.91126196405085
64.0,69.62836607811442
61.0,69.75798722200415
69.0,66.74031311765367
61.0,72.4833247616207
65.0,67.91833382488363
81.0,74.8500893400943
83.0,77.35427603698129
87.0,74.1535458198943
73.0,66.437317608715
51.0,66.85971210127857
61.0,67.99043877710733
76.0,66.0677493958739
69.0,71.20156718961111
74.0,73.67819846644392
76.0,66.55731836901138
68.0,71.41402564893966
73.0,73.48405479863375
80.0,75.36947703050406
71.0,75.0699840468867
50.0,67.1568487536666
84.0,71.00380916103865
70.0,70.57077465164168
77.0,76.45918529279353
70.0,69.10160325874912
81.0,72.66185899921612
76.0,72.08522902922688
76.0,69.4594618828425
86.0,75.65619299722235
79.0,73.12235826928769
56.0,65.45991168761823
69.0,70.3922036776602
83.0,76.09682169377972
88.0,79.99741504052375
73.0,69.64002219226745
85.0,77.26178325265776
70.0,73.94655164799858
59.0,66.51879810955843
69.0,65.65539203921209
78.0,71.77252505710256
59.0,64.65131335990995
77.0,76.40948264039896
84.0,73.97855312627203
75.0,74.10983266885741
70.0,67.77901952917759
87.0,75.29029798776418
72.0,75.82871365873346
78.0,75.07324976607298
80.0,73.92058699497325
62.0,76.56881821316672
67.0,69.45291642256086
62.0,64.36102309611425
60.0,67.15798581993491
85.0,76.16841283730777
54.0,62.86713708182165
65.0,74.92770892977353
58.0,68.82813352514273
64.0,69.32100484104642
55.0,75.45178722563791
78.0,71.03863539300733
65.0,66.94148083652405
82.0,70.08200122027164
75.0,73.60088077023484
64.0,68.18995109389508
71.0,70.94304993895942
76.0,74.48164086953948
88.0,81.77979335208809
61.0,75.32985057189643
77.0,73.25551597925792
76.0,70.54155452551939
67.0,65.23277900054667
69.0,72.1084198853082
74.0,74.9432553487393
73.0,73.74252812041071
54.0,62.45638753003468
61.0,63.860826761793895
90.0,78.50207403567305
84.0,72.26981108846749
70.0,73.7314128114044
69.0,67.27525953390472
51.0,73.31265468931501
84.0,75.15968003191013
82.0,75.75801233603656
69.0,68.0796456431295
68.0,73.49375966825056
76.0,71.74891373849499
92.0,78.88593595653782
65.0,69.14468941055053
78.0,74.12885794981433
72.0,74.62933191700435
65.0,64.9700860031655
84.0,69.91259541565985
85.0,78.63583365120347
80.0,73.03383717957489
69.0,72.42882483496706
50.0,59.027129236136716
75.0,73.50866201047369
82.0,70.35350178360558
59.0,70.98498397392949
88.0,77.27623625507054
78.0,70.96168992180027
79.0,69.85315198401456
71.0,73.82102543291133
90.0,71.35538125840662
70.0,70.75947774597533
55.0,68.53030489306006
82.0,69.87963677156799
67.0,72.89469519456863
77.0,66.53936920251626
62.0,66.64905905976778
77.0,71.82666324497583
