true_metascore,predicted_metascore
73.0,73.19255
80.0,71.88282
37.0,44.70233
74.0,65.3426
73.0,77.45983
75.0,73.6646
84.0,69.95029
63.0,72.880516
73.0,70.89327
66.0,62.344097
62.0,55.548523
72.0,68.166824
44.0,68.30951
64.0,62.88688
75.0,65.01816
59.0,61.31282
75.0,74.869
71.0,71.661
63.0,74.80378
81.0,72.8885
68.0,73.08073
70.0,69.24808
74.0,70.08016
64.0,68.94766
68.0,61.17862
78.0,73.22231
56.0,60.389534
84.0,78.15072
76.0,68.875946
94.0,90.09517
83.0,84.884155
74.0,70.955986
63.0,65.08734
77.0,72.67366
80.0,74.89857
74.0,70.407936
74.0,69.74044
79.0,73.831696
87.0,78.00921
59.0,63.83083
97.0,86.50252
55.0,70.61771
64.0,68.56948
68.0,70.8773
74.0,75.78934
64.0,68.704155
83.0,81.187
82.0,70.66173
42.0,52.60179
80.0,76.066536
63.0,69.36134
57.0,56.89599
96.0,88.66855
71.0,77.599365
78.0,71.99717
83.0,72.06146
87.0,68.721695
84.0,75.69255
80.0,78.48481
44.0,58.493786
68.0,75.73145
73.0,69.4063
62.0,56.544437
68.0,67.51628
89.0,74.67106
60.0,67.59961
80.0,74.348145
64.0,71.42658
85.0,76.06064
80.0,74.852036
72.0,72.04319
79.0,62.37841
80.0,72.8998
63.0,62.83747
72.0,76.161316
66.0,70.86845
79.0,80.91338
80.0,82.35225
59.0,64.264534
72.0,72.97245
66.0,70.66952
65.0,70.24751
87.0,76.076614
83.0,79.322
72.0,76.392525
86.0,74.96109
46.0,57.96235
83.0,81.24151
74.0,72.966
73.0,73.212296
78.0,71.726585
69.0,66.9858
83.0,78.520096
64.0,69.943184
81.0,79.461174
68.0,69.507324
80.0,80.830315
53.0,65.85287
69.0,66.68862
76.0,77.67769
67.0,59.576534
56.0,59.8751
83.0,76.34564
79.0,72.221115
73.0,72.29036
68.0,70.48538
72.0,69.680855
75.0,72.59101
70.0,71.93979
82.0,73.24427
67.0,61.692707
77.0,67.382385
84.0,78.57672
54.0,69.00908
67.0,74.431046
71.0,72.59357
70.0,69.80558
57.0,74.22146
58.0,62.8857
66.0,69.350914
72.0,68.8318
79.0,72.01657
59.0,62.85126
49.0,49.193813
97.0,83.70658
75.0,76.20219
80.0,77.98682
68.0,65.41981
76.0,75.67108
78.0,72.15041
81.0,75.53914
63.0,61.779186
76.0,73.293396
59.0,61.091904
68.0,70.104324
69.0,73.13072
90.0,78.09309
76.0,75.648155
64.0,60.182316
68.0,71.39846
67.0,64.03783
73.0,70.31476
63.0,70.84578
50.0,67.16567
70.0,62.745342
72.0,70.87028
80.0,77.071175
76.0,76.92249
84.0,80.081955
75.0,71.913704
51.0,60.088497
66.0,73.6124
81.0,79.99354
92.0,84.37001
61.0,59.860806
78.0,75.6649
69.0,65.873116
70.0,66.79665
85.0,69.146225
90.0,81.25904
61.0,61.327446
64.0,68.7471
74.0,77.62129
83.0,72.39287
90.0,87.942055
77.0,66.97375
82.0,71.00394
43.0,66.253426
73.0,75.45111
75.0,67.93415
80.0,68.68381
64.0,66.38734
72.0,73.93718
80.0,69.604294
80.0,67.442726
59.0,63.517216
72.0,77.94925
73.0,68.67149
88.0,80.654045
67.0,64.92253
82.0,85.5939
87.0,80.4092
69.0,70.670006
69.0,72.5429
48.0,64.25543
85.0,69.9791
70.0,64.38148
69.0,70.98228
50.0,52.40658
85.0,78.61843
79.0,77.39384
74.0,78.11027
62.0,63.897713
82.0,75.184296
36.0,47.809723
72.0,73.89474
42.0,49.693768
81.0,80.549515
70.0,70.997635
69.0,70.23925
84.0,73.820045
76.0,71.427025
58.0,65.526344
84.0,82.60324
89.0,74.887344
69.0,74.46611
79.0,66.9064
64.0,65.69953
51.0,71.63877
65.0,71.380585
86.0,87.978195
77.0,66.99055
67.0,67.86058
92.0,79.117485
83.0,78.17093
67.0,75.60801
70.0,69.345184
64.0,65.980835
72.0,71.80792
40.0,53.780796
82.0,76.88076
76.0,72.52485
60.0,67.61711
81.0,74.906364
75.0,74.73554
85.0,81.59124
70.0,74.44674
89.0,83.29698
69.0,73.23038
56.0,70.38694
78.0,58.813984
78.0,71.20122
68.0,63.191513
68.0,68.28759
52.0,57.735054
70.0,69.45262
44.0,50.920956
73.0,70.180016
57.0,44.68344
65.0,72.46481
80.0,78.94001
76.0,81.312874
67.0,73.645645
76.0,74.33721
81.0,80.14246
78.0,78.02102
50.0,59.13884
82.0,71.3351
87.0,72.92035
74.0,70.45217
68.0,75.73342
66.0,60.369926
61.0,67.02693
83.0,74.76512
88.0,78.67448
75.0,76.17276
61.0,61.84013
71.0,66.65452
55.0,58.16412
73.0,71.61203
72.0,72.21744
53.0,60.404198
49.0,60.95759
96.0,86.06241
69.0,71.19092
63.0,63.514427
77.0,75.752144
62.0,62.951702
