true_metascore,predicted_metascore
75.0,70.40429127705103
68.0,72.12182048100284
57.0,66.5479796289088
66.0,73.52956535208052
71.0,66.39435084815335
58.0,59.71167523648842
79.0,73.00287224508902
77.0,77.96217244965078
54.0,54.51160148210785
79.0,72.71878583990811
81.0,80.14359162417692
70.0,65.69265699350372
72.0,76.64747282133214
84.0,80.95987694885905
64.0,67.99361190784519
94.0,83.1846618903144
42.0,54.03183783541969
78.0,76.25491838506949
63.0,63.10446257408487
71.0,68.31166876730403
78.0,78.9477905280662
54.0,66.14723580970359
62.0,70.53707027051978
75.0,69.36438423399841
79.0,72.54483439769709
62.0,65.56044516919322
81.0,70.04317227383629
78.0,68.93766166530612
82.0,73.19431413643011
68.0,78.37109727352528
55.0,67.77338871160909
62.0,74.76431857896424
79.0,84.33128666666512
76.0,72.72314290620372
64.0,68.06933093415343
61.0,73.13837455638547
69.0,60.97041569203984
61.0,62.74972358989854
65.0,69.58953295143218
81.0,78.12472533397876
83.0,77.07041168302881
87.0,77.38426333170574
73.0,73.52688341801672
51.0,57.62141739212297
61.0,67.02549329540129
76.0,66.47974078886894
69.0,72.90707038694826
74.0,74.95955031961209
76.0,64.87637009975793
68.0,67.94984152904748
73.0,73.63759100041311
80.0,78.19578826235609
71.0,77.5226286997017
50.0,61.47667956247911
84.0,74.8536084514286
70.0,73.33035465921685
77.0,75.70491349070178
70.0,62.913814713045575
81.0,77.92107954110035
76.0,76.30424640535409
76.0,67.3851516818571
86.0,81.94355028341673
79.0,75.87924478868831
56.0,54.79257810519456
69.0,69.90791895806248
83.0,76.06074277659553
88.0,82.63741955329259
73.0,71.94287706792508
85.0,78.57239219160174
70.0,73.47572872760114
59.0,58.16802403402361
69.0,66.10954894123469
78.0,69.3568151065227
59.0,63.0439680018739
77.0,79.59000981011077
84.0,81.11818381548022
75.0,72.84542765577984
70.0,59.392855535158034
87.0,76.83032566336273
72.0,77.15024481668857
78.0,77.79569884003477
80.0,77.09560776026717
62.0,80.27492501581129
67.0,67.59029077645665
62.0,59.62759310375316
60.0,63.492649534369576
85.0,82.10054981744841
54.0,56.98795627609243
65.0,73.98091010380024
58.0,70.63650551993423
64.0,68.87370163065191
55.0,75.24527958366504
78.0,72.07655607231558
65.0,63.838523223058374
82.0,72.37732171891604
75.0,76.40002182392847
64.0,62.96835643595731
71.0,67.19169264576799
76.0,78.59293647524395
88.0,89.26254168973804
61.0,75.78077337488813
77.0,74.5307230515118
76.0,74.33723584591776
67.0,65.48636490039995
69.0,70.59454011395387
74.0,77.43020713829962
73.0,72.33314183615265
54.0,58.333596492832825
61.0,64.93722045282344
90.0,84.32506660654072
84.0,76.27942570662056
70.0,74.25498963500512
69.0,68.134155611383
51.0,66.17126115174764
84.0,82.00840963681074
82.0,78.30183314371223
69.0,67.50319815529814
68.0,68.0059884132675
76.0,75.25107836792647
92.0,83.53882344859841
65.0,63.92660989681571
78.0,76.07605438609072
72.0,76.66217803528625
65.0,65.28699723783052
84.0,71.75602472033393
85.0,79.26644039455945
80.0,74.88230916656185
69.0,73.99424327782448
50.0,54.75932138464938
75.0,76.3204742520151
82.0,74.27925208970336
59.0,69.13733204592886
88.0,84.61044733367855
78.0,78.85494593101151
79.0,70.48939931775111
71.0,75.76994934550486
90.0,72.6123119830055
70.0,69.63677423225266
55.0,64.82307706185703
82.0,69.56052097485104
67.0,73.63978225811427
77.0,67.73345588541125
62.0,53.75221366494266
77.0,67.64007500861769
69.0,67.77910707446948
60.0,71.01140775047388
77.0,80.90456186268999
76.0,66.43775426671024
66.0,68.77687163197663
45.0,49.106082560616024
83.0,73.70582843163513
73.0,76.59923993962902
69.0,64.13799655257665
64.0,66.40752369267068
83.0,77.84293170252526
67.0,70.00003609218447
61.0,69.29014859077901
71.0,67.7665858117775
61.0,60.54944410726588
87.0,79.6047733385639
33.0,47.94814361188786
83.0,72.82246229194662
74.0,72.75257203038677
85.0,78.69198609781328
75.0,72.6787692515193
44.0,58.31174483740783
51.0,59.722887179657306
56.0,59.64290873785592
51.0,55.97063887695252
64.0,75.53627441706296
49.0,67.92468764939815
82.0,72.17923358485126
72.0,60.65114457184092
81.0,74.12551794452357
63.0,60.65911023710372
74.0,75.68773250227605
77.0,71.8099106699176
60.0,60.134209322265505
59.0,56.83985018069567
82.0,67.42337797666251
90.0,82.05650342085248
38.0,37.72242999897568
77.0,75.62361377453504
83.0,78.3661207927994
82.0,72.2599078452592
80.0,74.9386521040742
59.0,69.68906903462162
69.0,72.03492064054242
50.0,56.37637702131869
66.0,64.04190332115897
74.0,71.54700488170381
72.0,74.02925730465483
79.0,71.66102346331584
52.0,67.60174897375926
88.0,79.76303258219755
70.0,76.01809731792902
76.0,69.31329502858787
32.0,46.99519881993309
79.0,77.00876770974011
72.0,70.72524320467255
73.0,73.4952465969419
71.0,64.2861968190735
67.0,68.91715139478562
83.0,80.96464036594224
