true_metascore,predicted_metascore
75.0,70.36021314991456
68.0,71.28734078083724
57.0,68.78600190064913
66.0,72.41998184262415
71.0,68.9186493984255
58.0,56.95485980993682
79.0,78.30783397694208
77.0,72.9329663007742
54.0,57.96677918348952
79.0,72.5152109198985
81.0,79.93371971296087
70.0,65.43795662242735
72.0,76.52305847368328
84.0,79.60337805814092
64.0,68.53789584735613
94.0,82.05866197100661
42.0,57.884221756564656
78.0,79.51870678407792
63.0,64.70108502146196
71.0,63.512391673020495
78.0,83.76717214483214
54.0,67.18115969313577
62.0,69.48208301798864
75.0,67.49786717775797
79.0,70.59448903062875
62.0,63.936296422841245
81.0,63.85420393153331
78.0,66.94864370716553
82.0,76.85650408792519
68.0,81.68233419086806
55.0,71.71499839621201
62.0,69.98766284824997
79.0,80.3803767241522
76.0,78.54581044802462
64.0,71.80638921946591
61.0,75.2300258366709
69.0,59.1482788322203
61.0,68.86749414202298
65.0,67.60276792925993
81.0,83.5054749295938
83.0,82.9776844689676
87.0,75.78058517697454
73.0,72.3691587481786
51.0,56.677542672261595
61.0,67.18154637245358
76.0,66.59024749490962
69.0,72.02867550986164
74.0,72.3785348526251
76.0,61.62782941059138
68.0,69.9265484961764
73.0,73.14785398261209
80.0,77.97024318787209
71.0,71.91688356906403
50.0,59.29378468560701
84.0,81.25572876748504
70.0,67.19588833806262
77.0,71.46338658839812
70.0,60.52853523430666
81.0,82.7066890500495
76.0,79.52166009046518
76.0,64.38488046181564
86.0,82.78054873789952
79.0,71.7164120098031
56.0,57.04878890520657
69.0,68.80268231450306
83.0,70.79693306286238
88.0,81.19218766290975
73.0,73.70363511233427
85.0,74.67780488853388
70.0,70.20524459580609
59.0,60.56301062495589
69.0,61.81844504050031
78.0,76.4643584325104
59.0,68.94291551040143
77.0,79.9763778337851
84.0,77.04314106287914
75.0,75.22404302107
70.0,53.42793888980723
87.0,77.6773289829421
72.0,79.46909148826188
78.0,77.43038775699688
80.0,78.52045411169644
62.0,79.98401946917308
67.0,67.53731438087092
62.0,59.24149656139786
60.0,60.74282032769657
85.0,81.56501675169659
54.0,53.22955960833013
65.0,68.94541233300791
58.0,65.30443291398507
64.0,71.52863515048548
55.0,73.34415488062348
78.0,68.68482476442028
65.0,66.35230960403183
82.0,72.10408331782352
75.0,78.3925201873276
64.0,66.38539562730898
71.0,71.56544509514106
76.0,77.43632959582602
88.0,90.73877723951577
61.0,73.51717075814892
77.0,74.095524344174
76.0,74.67840150687464
67.0,62.155073983646375
69.0,77.7703570867734
74.0,74.56840822265865
73.0,71.31585162089432
54.0,59.920446045491005
61.0,67.72172183861866
90.0,83.34582540167114
84.0,70.00750389500445
70.0,69.2350762495283
69.0,67.36185292954951
51.0,64.23267351047116
84.0,83.75073790441549
82.0,79.91582496056428
69.0,75.33864884337021
68.0,68.8724353908352
76.0,73.9578149560841
92.0,78.01221384213875
65.0,65.48744696089412
78.0,81.31802096120698
72.0,76.44080431706674
65.0,65.15323414032112
84.0,65.10096162599949
85.0,80.22789994751487
80.0,74.34084296848008
69.0,70.21407740871933
50.0,59.0735070616076
75.0,78.53937283288484
82.0,78.22202031188675
59.0,70.71092578026864
88.0,82.18173593854777
78.0,76.86015831760838
79.0,70.09687611527795
71.0,71.55769255745265
90.0,77.76350013013506
70.0,73.63743135913376
55.0,63.14130881020542
82.0,66.09072067016132
67.0,73.79063802183862
77.0,69.39161727534263
62.0,49.32065107390864
77.0,59.84322154386285
69.0,70.54131151744953
60.0,68.95732555370758
77.0,78.30321630704216
76.0,76.94892562714799
66.0,68.44801931728044
45.0,55.95713312106857
83.0,76.85894070873213
73.0,72.70942913990089
69.0,71.11988118688697
64.0,62.35297463520509
83.0,79.2577135459236
67.0,72.32508432728554
61.0,71.65731661701943
71.0,71.04349745899887
61.0,59.853528720332605
87.0,80.01242845832172
33.0,59.90477949367788
83.0,73.45688994000922
74.0,65.15927100550456
85.0,75.54043407443201
75.0,73.5258045355151
44.0,58.85059355346469
51.0,58.89087732791464
56.0,59.56934741213935
51.0,62.55312583320411
64.0,77.44082616751935
49.0,64.58583501973206
82.0,68.90599873015567
72.0,61.85952513293318
81.0,73.96568381054237
63.0,54.30752511237153
74.0,79.11088798816873
77.0,76.45819465083179
60.0,59.87527724401925
59.0,60.251528276255
82.0,68.4251920102948
90.0,81.53497395101982
38.0,42.12230407334859
77.0,71.87723057279578
83.0,77.66455185163898
82.0,70.89798947863545
80.0,76.97171004959932
59.0,71.00712560453252
69.0,69.77651966224047
50.0,63.083114481655834
66.0,69.08225593662682
74.0,76.1618203702374
72.0,79.00113276821949
79.0,71.55366311497013
52.0,61.45550213854264
88.0,79.2373748836091
70.0,75.78394668138979
76.0,65.32700258370731
32.0,47.0219900414423
79.0,81.63294640749929
72.0,73.6442850298735
73.0,74.25115696553009
71.0,69.4515508022816
67.0,76.58091876472662
83.0,80.24002470591132
76.0,73.15848272782517
85.0,83.06641921235352
92.0,83.58694931714254
78.0,78.89417039307905
81.0,71.40440595965964
49.0,60.182490197393314
60.0,50.55534480595999
82.0,75.48742073761903
76.0,82.17287310614022
68.0,72.74983850322234
55.0,64.50500048168931
79.0,84.08459264639524
86.0,75.60742847680179
70.0,72.90459451277104
87.0,87.06665207342516
61.0,65.27220292924945
77.0,76.85702111552479
69.0,67.0985851637545
59.0,64.66117185575385
73.0,74.76306885917876
70.0,72.13762692696771
53.0,52.455834893088934
84.0,86.37499281925973
86.0,71.80555096194742
62.0,67.6805811047435
88.0,72.58379310948024
86.0,80.29430195275445
45.0,66.6767164324668
72.0,69.54230473242656
73.0,67.86001667638261
76.0,73.8476289794047
61.0,68.90494050690698
64.0,62.168653628129874
85.0,76.24520714259367
80.0,78.06406707017794
80.0,80.69590369292575
70.0,70.25196644980576
85.0,80.40762468579008
81.0,74.53527862538627
63.0,62.3189538680259
92.0,78.20895355978652
68.0,70.2904709135233
81.0,82.29589072899881
79.0,66.4536928850352
82.0,82.68527970179704
66.0,70.18275654779912
68.0,66.21894359018079
70.0,69.51087757111422
90.0,84.30063342742257
72.0,73.6412994530676
39.0,68.99997880453458
64.0,71.87205717398876
77.0,72.17013948956851
69.0,69.42138548636774
81.0,80.00729362459269
64.0,64.82870232278943
80.0,70.19131711714006
68.0,68.81770681633026
79.0,71.4778616776407
44.0,56.465843576417406
54.0,61.90817834986595
84.0,75.16524460049688
59.0,61.631598580492266
70.0,69.62828313118098
70.0,59.31579809505866
56.0,57.623427273987915
67.0,65.17929801051149
75.0,70.4032125369444
63.0,64.41537210182712
61.0,60.61018837128384
80.0,79.46898934295578
78.0,69.69465640430363
81.0,79.94319032079234
59.0,60.35651665737406
82.0,68.83668345117536
66.0,65.10748905592807
74.0,65.46041556000652
70.0,70.26011829942443
66.0,41.16912745710814
64.0,66.69364560302218
81.0,64.23028233007136
61.0,60.996453700504304
60.0,65.87834854160154
74.0,72.41275216212345
73.0,71.43730090171664
67.0,67.88221248814482
87.0,82.15014135530197
92.0,80.13314811463859
73.0,62.520587783104475
60.0,65.14860420367116
88.0,83.98293863903531
58.0,67.053498074196
61.0,71.2914881745481
65.0,68.22079097329797
68.0,67.69875603727019
80.0,74.70469918351102
50.0,54.96836641972574
80.0,72.60380987836251
73.0,67.68771473225812
64.0,70.1766297397964
58.0,51.76080479725507
82.0,79.99370093949133
63.0,61.72039276613113
69.0,67.62392677039354
86.0,78.04266205868936
73.0,66.60807699512023
59.0,68.91230014597753
50.0,59.08696611944884
79.0,72.44943959042872
87.0,84.05016199204461
70.0,70.61736045625305
71.0,73.48395597017006
67.0,55.808707775668246
71.0,68.86987235023875
58.0,69.56329286028488
67.0,72.55372426038826
78.0,76.64550023730243
59.0,69.99338560607463
54.0,65.24254633197341
58.0,62.126461828824
76.0,76.78884258177726
67.0,66.10927231595146
81.0,77.94903266258123
71.0,69.61482238927974
71.0,59.59333587756436
80.0,72.10585798452708
71.0,73.10783762639734
70.0,64.49137916011593
39.0,52.75832636528824
63.0,61.92108718754192
85.0,78.39042082740063
